                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6057,                 5.8236,                 3.2492,                 1.6837,                0.00976,                      1,                0.06198,                0.02418,                0.00759,                0.77778,                0.05967,                 0.0168,                  1.339,                 3.1415,                 3.6323,                 1.8964,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.5221,                 4.0381,                 3.1284,                 1.5505,                0.00979,                      1,                0.60311,                0.37663,                0.00979,                      1,                0.60311,                0.34655,                  1.129,                 1.3091,                 3.3277,                 1.4114,               8.28e-05,               8.28e-05,               8.28e-05
                      3,                 1.1378,                 2.0808,                 2.9783,                 1.2708,                0.00909,                      1,                0.67071,                0.42863,                0.00909,                      1,                0.67071,                0.43532,                0.95491,                0.98207,                 3.2892,                 1.1542,              0.0001316,              0.0001316,              0.0001316
                      4,                0.91911,                 1.1056,                 2.6485,                 1.1244,                0.00922,                      1,                0.73326,                0.51671,                0.00922,                      1,                0.73326,                0.50951,                0.79053,                0.67271,                 3.2031,                 1.1042,             0.00017974,             0.00017974,             0.00017974
                      5,                0.89582,                 1.0846,                 2.2816,                 1.1407,                0.00984,                      1,                0.87029,                0.66737,                0.00984,                      1,                0.87029,                0.67777,                0.59962,                0.69726,                 2.8578,                0.98997,             0.00022722,             0.00022722,             0.00022722
                      6,                0.93581,                0.92864,                 2.0478,                 1.0939,                0.89955,                 0.9955,                  0.984,                0.75997,                0.89955,                 0.9955,                  0.984,                0.79821,                0.61512,                 1.0757,                 2.6029,                0.99818,             0.00027404,             0.00027404,             0.00027404
                      7,                0.80845,                0.81496,                 1.6369,                 1.0691,                      1,                0.75243,                  0.995,                0.78184,                      1,                0.75243,                  0.995,                0.74811,                0.69033,                 1.5949,                 2.3297,                0.98674,              0.0003202,              0.0003202,              0.0003202
                      8,                0.76849,                0.75337,                  1.651,                 1.0341,                      1,                0.75604,                  0.995,                0.75031,                      1,                0.75604,                  0.995,                0.72911,                0.65994,                 1.4466,                  2.355,                 1.0322,              0.0003657,              0.0003657,              0.0003657
                      9,                   0.78,                0.82293,                 1.5718,                 1.0627,                      1,                0.95665,                  0.995,                0.79602,                      1,                0.95665,                  0.995,                0.73024,                0.67216,                 1.0648,                 2.6147,                 1.0646,             0.00041054,             0.00041054,             0.00041054
                     10,                0.81504,                0.71475,                 1.4613,                 1.0402,                0.64729,                      1,                  0.995,                0.81759,                0.64729,                      1,                  0.995,                0.76664,                0.63892,                 1.0725,                 2.6383,                 1.0044,             0.00045471,             0.00045471,             0.00045471
                     11,                0.81905,                0.67839,                 1.4653,                 1.0456,                      1,                0.55389,                  0.995,                0.82866,                      1,                0.55389,                  0.995,                0.89007,                 0.6452,                0.84407,                 2.5494,                 1.0205,             0.00049823,             0.00049823,             0.00049823
                     12,                0.86605,                 0.8818,                 1.5113,                 1.0651,                      1,                0.75483,                  0.995,                   0.87,                      1,                0.75483,                  0.995,                 0.8604,                0.61467,                0.86269,                 2.5876,                 1.0082,             0.00054109,             0.00054109,             0.00054109
                     13,                0.73702,                0.73791,                 1.2412,                0.99853,                0.99353,                      1,                  0.995,                0.78742,                0.99353,                      1,                  0.995,                0.79531,                0.71737,                0.83417,                 2.4465,                 1.0992,             0.00058329,             0.00058329,             0.00058329
                     14,                0.83901,                0.74082,                 1.3648,                 1.0583,                0.94638,                      1,                  0.995,                0.83381,                0.94638,                      1,                  0.995,                0.83545,                0.71637,                0.85382,                 2.5878,                 1.3364,             0.00062483,             0.00062483,             0.00062483
                     15,                0.75457,                 0.6505,                 1.2348,                 1.0109,                0.98793,                      1,                  0.995,                 0.7726,                0.98793,                      1,                  0.995,                0.80965,                0.76228,                 1.2522,                 2.2225,                 1.3803,             0.00066571,             0.00066571,             0.00066571
                     16,                0.77635,                0.72917,                 1.1583,                0.99802,                0.98684,                      1,                  0.995,                0.77474,                0.98684,                      1,                  0.995,                0.74151,                0.82394,                  1.241,                 1.6756,                 1.4704,             0.00070592,             0.00070592,             0.00070592
                     17,                0.69009,                0.60228,                  1.102,                0.97418,                0.88457,                0.88889,                 0.8958,                0.70206,                0.88457,                0.88889,                 0.8958,                0.76797,                0.81419,                 2.1991,                 1.7135,                  1.326,             0.00074548,             0.00074548,             0.00074548
                     18,                0.76725,                0.60265,                 1.1508,                 1.0176,                0.99235,                      1,                  0.995,                0.77623,                0.88209,                0.88889,                0.93465,                0.79348,                0.77407,                 2.0156,                 1.6369,                 1.3471,             0.00078438,             0.00078438,             0.00078438
                     19,                0.75063,                0.64919,                 1.0727,                0.98635,                0.89892,                0.98924,                  0.984,                0.85996,                0.89892,                0.98924,                  0.984,                0.79156,                0.67642,                 1.5176,                 1.4145,                 1.3754,             0.00082262,             0.00082262,             0.00082262
                     20,                0.62547,                0.52528,                0.99369,                0.98029,                0.99373,                0.88889,                 0.9675,                0.80375,                0.99373,                0.88889,                 0.9675,                0.77862,                0.68323,                  1.919,                 1.3576,                 1.4059,              0.0008602,              0.0008602,              0.0008602
                     21,                0.66706,                0.53712,                  0.972,                0.95363,                0.99396,                0.88889,                0.96115,                0.73304,                0.99396,                0.88889,                0.96115,                0.69706,                0.74677,                 2.3714,                 1.3998,                 1.3621,             0.00089711,             0.00089711,             0.00089711
                     22,                0.60972,                0.65417,                 1.0227,                0.98504,                      1,                0.99334,                  0.995,                0.75966,                      1,                0.99334,                  0.995,                0.72945,                0.78188,                  2.179,                 1.5219,                 1.2877,             0.00093337,             0.00093337,             0.00093337
                     23,                0.71974,                0.60699,                0.97518,                0.97168,                      1,                0.99275,                  0.995,                0.82589,                      1,                0.99275,                  0.995,                0.78313,                0.66329,                 1.5715,                 1.4174,                 1.0982,             0.00096897,             0.00096897,             0.00096897
                     24,                0.64858,                0.67262,                0.93999,                0.94888,                0.89879,                0.98791,                  0.984,                0.81797,                0.89879,                0.98791,                  0.984,                0.77034,                0.69012,                    1.1,                 1.4466,                 1.1667,              0.0010039,              0.0010039,              0.0010039
                     25,                0.67162,                0.57089,                 0.9331,                0.95371,                      1,                0.88552,                 0.9675,                0.80005,                      1,                0.88552,                 0.9675,                0.76645,                0.73407,                 1.0501,                 1.4294,                 1.0676,              0.0010382,              0.0010382,              0.0010382
                     26,                0.74806,                0.57576,                 1.0523,                 1.0193,                0.88434,                0.85248,                0.92656,                0.76312,                0.88434,                0.85248,                0.92656,                0.73777,                0.68355,                 1.1802,                  1.549,                 1.0394,              0.0010718,              0.0010718,              0.0010718
                     27,                0.63958,                0.56774,                0.98099,                0.98386,                      1,                0.77686,                0.94349,                0.80543,                      1,                0.77686,                0.94349,                0.75857,                0.66667,                 1.5797,                 1.6168,                 1.0964,              0.0011048,              0.0011048,              0.0011048
                     28,                0.71062,                0.49569,                0.99325,                 0.9653,                      1,                0.87996,                  0.975,                0.83628,                      1,                0.87996,                0.94687,                0.81329,                0.62147,                 1.0933,                 1.3681,                 1.0034,              0.0011371,              0.0011371,              0.0011371
