                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7582,                 5.7964,                 3.2448,                 1.6904,                 0.0051,                0.77778,                0.04335,                0.01856,                 0.0051,                0.77778,                0.04619,                0.01762,                 1.5771,                 1.8963,                 3.6501,                 1.8349,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.4638,                 3.9636,                 3.1741,                 1.5079,                0.00507,                0.77778,                 0.1186,                0.05878,                0.00507,                0.77778,                0.10597,                0.05741,                  1.075,                 1.3219,                 3.3895,                 1.4217,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                 1.2265,                  2.252,                 3.0807,                 1.2858,                0.00537,                0.83333,                0.26484,                0.15087,                0.00537,                0.83333,                0.26413,                  0.149,                0.95218,                 1.5819,                 3.2608,                 1.2939,             0.00013072,             0.00013072,             0.00013072
                      4,                0.82881,                 1.0162,                 2.5773,                 1.0614,                0.00603,                0.94444,                0.38778,                0.25857,                0.00603,                0.94444,                0.38613,                0.24872,                 1.0248,                 2.4153,                 3.1509,                 1.2375,             0.00017792,             0.00017792,             0.00017792
                      5,                0.92758,                0.81477,                 2.4626,                 1.1608,                0.00605,                0.94444,                0.48471,                0.35232,                0.00605,                0.94444,                0.48471,                 0.3327,                0.87881,                 2.5279,                 2.9832,                   1.11,             0.00022414,             0.00022414,             0.00022414
                      6,                0.87593,                 1.0488,                 1.9504,                 1.0928,                 0.2396,                0.94444,                0.52656,                0.36107,                 0.2396,                0.94444,                0.51595,                0.30704,                0.85942,                 1.9584,                 2.7933,                 1.0783,             0.00026936,             0.00026936,             0.00026936
                      7,                0.75131,                0.69198,                 2.0178,                  1.094,                0.43231,                0.26746,                0.58914,                 0.4169,                0.43231,                0.26746,                0.58914,                0.39214,                0.83126,                 1.8854,                 2.6743,                 1.0591,              0.0003136,              0.0003136,              0.0003136
                      8,                0.95376,                  1.011,                 1.8668,                 1.0883,                    0.5,                0.20692,                0.52332,                0.36946,                    0.5,                0.20692,                0.52332,                0.31627,                0.85727,                 2.2791,                 2.7174,                 1.0755,             0.00035684,             0.00035684,             0.00035684
                      9,                0.88959,                0.96296,                 1.6466,                 1.0267,                0.26664,                0.08333,                0.45985,                0.30436,                0.26664,                0.08333,                0.45985,                0.28923,                 1.0283,                 1.6731,                 2.7386,                 1.2221,             0.00039909,             0.00039909,             0.00039909
                     10,                0.95233,                0.78772,                 1.5625,                 1.2113,                0.34528,                0.11279,                0.46441,                0.33343,                0.34528,                0.11279,                0.47705,                0.31605,                 0.9436,                 1.2786,                 2.7347,                 1.1742,             0.00044036,             0.00044036,             0.00044036
                     11,                 1.0255,                0.72153,                 1.6052,                 1.2351,                0.45712,                0.18788,                0.50935,                0.39052,                0.59436,                0.22954,                 0.5131,                0.37666,                0.93192,                 1.2679,                  2.851,                 1.1978,             0.00048063,             0.00048063,             0.00048063
                     12,                 1.9249,                 2.6697,                 2.9324,                  2.267,                0.40898,                0.19159,                0.43998,                0.33271,                  0.552,                0.22457,                0.46951,                0.32608,                0.87127,                 1.2426,                 2.8251,                 1.1485,             0.00051991,             0.00051991,             0.00051991
                     13,                0.86731,                0.91005,                  1.768,                 1.1018,                0.50211,                0.52482,                0.52008,                0.34313,                0.50211,                0.52482,                0.52008,                0.32432,                0.92127,                 1.3066,                 2.6452,                 1.1584,              0.0005582,              0.0005582,              0.0005582
                     14,                0.82921,                0.79777,                 1.6924,                 1.0926,                0.59053,                0.53307,                0.58145,                0.39994,                0.58743,                0.53684,                0.59502,                0.39562,                0.99196,                 1.2977,                 2.6936,                 1.2235,             0.00059551,             0.00059551,             0.00059551
                     15,                0.76491,                0.70233,                 1.6106,                 1.0257,                 0.5774,                0.47605,                0.70219,                0.40932,                 0.5774,                0.47605,                0.70219,                0.45401,                 1.3003,                 1.6024,                 2.6497,                 1.5517,             0.00063182,             0.00063182,             0.00063182
                     16,                0.69925,                0.58658,                 1.8961,                 1.1005,                0.53522,                0.57352,                0.68364,                0.46075,                0.53522,                0.57352,                0.68364,                0.48859,                 1.2225,                 1.4439,                 2.5746,                 1.5008,             0.00066714,             0.00066714,             0.00066714
                     17,                0.64724,                0.50308,                 1.0931,                 1.0277,                0.54876,                0.56944,                0.58672,                0.40754,                0.54876,                0.56944,                0.58672,                 0.4368,                  1.195,                 1.1449,                 2.6442,                 1.4384,             0.00070147,             0.00070147,             0.00070147
                     18,                0.87807,                0.60333,                 1.2767,                 1.0549,                0.69106,                0.48941,                0.44513,                0.32953,                0.58555,                    0.5,                0.47479,                0.32689,                 1.2732,                 1.2634,                 2.7745,                 1.6002,             0.00073482,             0.00073482,             0.00073482
                     19,                0.87995,                0.52017,                 1.2855,                 1.1301,                0.36078,                0.44444,                0.40997,                0.25832,                0.36078,                0.44444,                0.40869,                0.30106,                 1.4907,                 1.6495,                 2.8392,                 1.8735,             0.00076717,             0.00076717,             0.00076717
                     20,                 1.1861,                0.92943,                 1.6561,                 1.2884,                0.67555,                0.57188,                0.57003,                0.38226,                0.65328,                0.48554,                 0.5905,                0.40934,                 1.2714,                 1.5751,                 2.5584,                 1.6123,             0.00079853,             0.00079853,             0.00079853
                     21,                0.65628,                0.53166,                 1.1091,                0.97366,                0.79459,                0.44444,                0.59337,                0.45701,                0.67787,                0.55556,                0.63716,                0.45753,                  1.129,                  1.231,                 2.3474,                 1.3305,              0.0008289,              0.0008289,              0.0008289
                     22,                0.66142,                0.62803,                 1.1106,                 1.0149,                0.64421,                0.71347,                0.66795,                0.49026,                0.70759,                0.68056,                0.68838,                0.48682,                0.98282,                 1.1946,                 2.3042,                  1.219,             0.00085828,             0.00085828,             0.00085828
                     23,                0.84365,                0.69324,                  1.797,                  1.515,                0.52957,                0.68056,                0.64717,                0.48023,                0.67703,                 0.7261,                0.69885,                0.45701,                0.97213,                 1.2891,                  2.456,                 1.2339,             0.00088667,             0.00088667,             0.00088667
                     24,                0.69091,                0.52079,                 1.4187,                  1.145,                 0.8797,                0.61837,                0.68525,                0.52553,                0.69547,                0.70346,                0.71239,                0.51605,                0.94301,                0.99482,                 2.3995,                 1.1658,             0.00091407,             0.00091407,             0.00091407
                     25,                0.92931,                0.81522,                 1.4487,                 1.3417,                0.83197,                0.65806,                 0.7396,                0.56242,                0.84567,                0.65099,                0.75472,                0.57488,                0.92097,                0.97837,                 2.1796,                 1.1526,             0.00094048,             0.00094048,             0.00094048
                     26,                0.56226,                0.46788,                 1.7097,                0.93916,                0.79762,                0.68292,                0.78063,                0.54063,                0.79762,                0.68292,                0.76413,                0.50856,                 1.0234,                 1.2561,                 2.1466,                 1.2288,              0.0009659,              0.0009659,              0.0009659
                     27,                0.68704,                0.49406,                0.95078,                 1.0284,                0.79444,                0.66383,                0.75249,                0.53506,                0.79444,                0.66383,                0.74947,                0.48067,                0.99849,                 2.1565,                 2.1993,                 1.1881,             0.00099033,             0.00099033,             0.00099033
                     28,                0.70471,                0.54776,                 1.1939,                 1.0225,                0.57843,                0.71066,                0.68355,                0.47795,                0.57843,                0.71066,                0.68893,                0.42809,                 1.0035,                 2.4602,                 2.5006,                 1.2608,              0.0010138,              0.0010138,              0.0010138
                     29,                0.62814,                0.65471,                 1.4257,                 0.9695,                0.57843,                0.71066,                0.68355,                0.47795,                0.57843,                0.71066,                0.68893,                0.42809,                 1.0035,                 2.4602,                 2.5006,                 1.2608,              0.0010362,              0.0010362,              0.0010362
                     30,                0.73175,                0.75596,                 1.0244,                 1.0012,                0.52153,                0.67569,                 0.6146,                0.42276,                0.52866,                0.60088,                0.63541,                0.37463,                 1.0289,                  2.262,                 2.7671,                 1.3111,              0.0010577,              0.0010577,              0.0010577
                     31,                 1.0785,                 1.5799,                 1.9356,                 1.8525,                0.50143,                0.72222,                0.62652,                0.44683,                0.65986,                0.58333,                0.66002,                0.45984,                0.91988,                 2.0177,                 2.6024,                 1.2139,              0.0010781,              0.0010781,              0.0010781
                     32,                0.68535,                0.47813,                0.99525,                 0.9865,                0.71266,                0.48934,                0.53971,                 0.3713,                0.66717,                 0.6243,                0.59328,                 0.3763,                 1.0589,                 2.5264,                 2.7756,                 1.3319,              0.0010976,              0.0010976,              0.0010976
                     33,                 1.2659,                0.72325,                 2.1522,                 1.7044,                0.71266,                0.48934,                0.53971,                 0.3713,                0.66717,                 0.6243,                0.59328,                 0.3763,                 1.0589,                 2.5264,                 2.7756,                 1.3319,              0.0011161,              0.0011161,              0.0011161
                     34,                0.89265,                0.54874,                 1.3699,                 1.1744,                0.61647,                    0.5,                0.44685,                0.31899,                0.71895,                0.57832,                0.53817,                0.35094,                   1.08,                 1.6047,                 2.7204,                 1.3247,              0.0011224,              0.0011224,              0.0011224
                     35,                0.74243,                0.39435,                  1.013,                0.97265,                0.70026,                0.45833,                0.52561,                0.38791,                0.70026,                0.45833,                 0.5269,                0.39329,                 1.1613,                 1.4793,                 2.4502,                 1.3949,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.0545,                  1.177,                 1.7272,                 1.3986,                0.85116,                0.46329,                0.55961,                0.39378,                0.85116,                0.46329,                0.56165,                0.40418,                 1.2496,                 1.8742,                 2.8178,                 1.5416,              0.0011059,              0.0011059,              0.0011059
                     37,                0.80419,                0.56322,                0.99842,                 1.0482,                0.85116,                0.46329,                0.55961,                0.39378,                0.85116,                0.46329,                0.56165,                0.40418,                 1.2496,                 1.8742,                 2.8178,                 1.5416,              0.0010894,              0.0010894,              0.0010894
                     38,                0.93954,                0.68383,                 1.1465,                 1.0943,                 0.7324,                0.44444,                0.50489,                0.30793,                 0.7324,                0.44444,                0.53163,                0.32035,                 1.3135,                 2.2152,                 2.9152,                 1.5789,              0.0010729,              0.0010729,              0.0010729
                     39,                0.59495,                0.44227,                 0.9294,                0.94575,                0.84261,                 0.3893,                0.46328,                0.30716,                0.84231,                0.49275,                0.54131,                0.33371,                 1.4307,                  2.121,                 2.9149,                 1.6877,              0.0010564,              0.0010564,              0.0010564
                     40,                0.72927,                0.41473,                  1.431,                 1.0243,                 0.7009,                0.39678,                0.44808,                0.33992,                0.81094,                0.44444,                0.52025,                0.35212,                 1.4719,                 2.0603,                   2.59,                 1.7046,              0.0010399,              0.0010399,              0.0010399
                     41,                0.61447,                0.60306,                0.98937,                0.95429,                 0.7009,                0.39678,                0.44808,                0.33992,                0.81094,                0.44444,                0.52025,                0.35212,                 1.4719,                 2.0603,                   2.59,                 1.7046,              0.0010234,              0.0010234,              0.0010234
                     42,                0.64083,                0.43692,                0.97142,                 0.9473,                0.56324,                 0.4239,                0.50045,                0.36811,                0.56324,                 0.4239,                0.49877,                0.36815,                 1.2958,                 2.4218,                 2.6552,                 1.5782,              0.0010069,              0.0010069,              0.0010069
                     43,                 0.8231,                0.67092,                 1.1379,                 1.0191,                0.40968,                  0.625,                0.45564,                0.31814,                0.38738,                0.56944,                0.44182,                0.31515,                 1.2193,                 1.6053,                 3.0166,                 1.5229,             0.00099036,             0.00099036,             0.00099036
                     44,                0.58551,                0.45415,                0.92939,                0.97503,                0.29113,                    0.5,                0.34673,                 0.2409,                0.34733,                0.54167,                0.37762,                0.24084,                 1.2071,                 1.3671,                 3.3143,                 1.4183,             0.00097386,             0.00097386,             0.00097386
                     45,                 0.6634,                 0.6407,                0.89679,                0.93873,                0.29113,                    0.5,                0.34673,                 0.2409,                0.34733,                0.54167,                0.37762,                0.24084,                 1.2071,                 1.3671,                 3.3143,                 1.4183,             0.00095736,             0.00095736,             0.00095736
                     46,                0.59799,                0.59173,                0.83429,                0.94023,                0.25856,                0.45833,                0.30325,                0.20585,                0.29368,                    0.5,                 0.3368,                0.19851,                 1.1672,                 1.1806,                 3.4686,                 1.4514,             0.00094085,             0.00094085,             0.00094085
                     47,                0.60258,                0.59152,                0.94872,                 0.9643,                0.33887,                0.47222,                0.33755,                0.23397,                0.33887,                0.47222,                0.33776,                0.23098,                 1.2754,                 1.1071,                 4.0585,                 1.6444,             0.00092435,             0.00092435,             0.00092435
                     48,                0.53748,                0.43483,                  1.099,                0.92657,                0.54473,                0.50346,                 0.3947,                0.28998,                0.54473,                0.50346,                0.39772,                0.28365,                 1.4945,                 1.6141,                 3.5519,                 1.7916,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.0108,                0.56769,                 1.2739,                 1.2862,                0.54473,                0.50346,                 0.3947,                0.28998,                0.54473,                0.50346,                0.39772,                0.28365,                 1.4945,                 1.6141,                 3.5519,                 1.7916,             0.00089134,             0.00089134,             0.00089134
                     50,                0.56237,                0.52602,                 1.0357,                0.94365,                0.70537,                0.46837,                 0.4438,                0.32401,                0.70537,                0.46837,                 0.4438,                0.31174,                 1.5676,                 2.1007,                 2.6418,                 1.8192,             0.00087484,             0.00087484,             0.00087484
                     51,                0.61916,                0.63128,                0.96583,                0.97091,                0.74206,                0.55556,                0.58696,                0.43541,                0.74206,                0.55556,                0.58696,                0.42063,                 1.3547,                 1.8228,                 2.0815,                 1.6647,             0.00085834,             0.00085834,             0.00085834
                     52,                0.91134,                0.86051,                 3.1238,                 1.2909,                0.77302,                0.59722,                0.60573,                0.43727,                0.77302,                0.59722,                0.60573,                0.42176,                  1.288,                 1.6363,                 2.0734,                 1.6337,             0.00084184,             0.00084184,             0.00084184
                     53,                 0.8133,                0.79153,                  1.256,                 1.0037,                0.77302,                0.59722,                0.60573,                0.43727,                0.77302,                0.59722,                0.60573,                0.42176,                  1.288,                 1.6363,                 2.0734,                 1.6337,             0.00082533,             0.00082533,             0.00082533
                     54,                  1.006,                0.88696,                 1.2816,                 1.2805,                0.80944,                0.59722,                0.66383,                 0.5063,                0.80944,                0.59722,                0.65576,                0.47556,                 1.0908,                 1.5237,                 1.9397,                 1.4836,             0.00080883,             0.00080883,             0.00080883
                     55,                0.80318,                0.74864,                 1.4316,                 1.0499,                 0.6905,                0.68056,                0.73018,                0.51569,                 0.6905,                0.68056,                0.71236,                0.48326,                0.96886,                 1.4722,                 1.9112,                 1.3509,             0.00079233,             0.00079233,             0.00079233
                     56,                 0.5988,                0.33076,                 1.2655,                 1.0062,                0.65032,                 0.6879,                0.65383,                0.48588,                0.65032,                 0.6879,                0.65383,                0.46799,                0.87467,                 1.3927,                 1.8412,                 1.2418,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.5418,                0.46723,                 1.2278,                0.95349,                0.65032,                 0.6879,                0.65383,                0.48588,                0.65032,                 0.6879,                0.65383,                0.46799,                0.87467,                 1.3927,                 1.8412,                 1.2418,             0.00075932,             0.00075932,             0.00075932
                     58,                0.58522,                0.56398,                 1.0579,                0.94336,                0.59242,                0.63889,                0.62462,                0.44259,                0.59242,                0.63889,                0.62462,                0.43305,                0.94171,                 1.4419,                 1.9261,                  1.273,             0.00074282,             0.00074282,             0.00074282
                     59,                 0.6616,                0.47122,                 1.0901,                0.97989,                0.63753,                0.72929,                0.69774,                0.46356,                0.63753,                0.72929,                0.69774,                0.46838,                0.99194,                  1.395,                  1.943,                 1.3145,             0.00072631,             0.00072631,             0.00072631
                     60,                0.90377,                0.61969,                 1.6043,                 1.2764,                0.80422,                0.63251,                0.70501,                0.48244,                0.80422,                0.63251,                0.70501,                0.47457,                 1.0431,                  1.305,                 1.8956,                   1.33,             0.00070981,             0.00070981,             0.00070981
                     61,                0.63301,                0.60725,                 1.0456,                0.99858,                0.80422,                0.63251,                0.70501,                0.48244,                0.80422,                0.63251,                0.70501,                0.47457,                 1.0431,                  1.305,                 1.8956,                   1.33,             0.00069331,             0.00069331,             0.00069331
                     62,                0.70617,                0.45581,                 1.0188,                 1.0978,                0.71091,                0.73611,                0.75074,                  0.506,                0.71091,                0.73611,                0.75074,                0.50001,                 1.0607,                 1.2969,                 1.8418,                 1.3063,              0.0006768,              0.0006768,              0.0006768
